step,episode,episode_return,episode_wue,episode_fair_std,episode_worst_outage_h,loss,epsilon,eval_return
47376,282,-63.6115,94050.56,0.06744,65.00,0.068671,0.2499,
47544,283,-63.9222,106360.15,0.04374,60.50,0.050464,0.2472,
47712,284,-91.5443,148689.70,0.03738,74.50,0.059982,0.2446,
47880,285,-73.6223,106706.60,0.04468,61.25,0.047485,0.2419,
48048,286,-64.5170,99265.26,0.05234,63.50,0.042723,0.2392,
48216,287,-63.4785,91559.30,0.04178,55.75,0.056451,0.2366,
48384,288,-63.5317,101389.04,0.05770,64.75,0.058388,0.2339,
48552,289,-65.4251,105585.12,0.06568,72.00,0.048508,0.2313,
48720,290,-91.7343,145371.91,0.04985,77.75,0.048018,0.2286,
48888,291,-59.3614,103429.63,0.02006,55.00,0.056756,0.2259,
49056,292,-58.7685,99291.35,0.05309,58.25,0.044390,0.2233,
49224,293,-64.9441,96739.09,0.04556,55.75,0.069234,0.2206,
49392,294,-99.0030,168968.93,0.04960,79.75,0.056590,0.2180,
49560,295,-61.9986,96484.48,0.03418,53.25,0.060761,0.2153,
49728,296,-63.9840,94757.76,0.04715,60.75,0.044643,0.2126,
49896,297,-63.7154,90293.71,0.04472,53.25,0.058318,0.2100,
50000,297,,,,,,,-70.2913
50064,298,-94.8383,149415.48,0.03475,69.00,0.070037,0.2073,
50232,299,-87.1106,150587.24,0.03821,76.25,0.040269,0.2047,
50400,300,-89.9093,163899.21,0.01189,71.50,0.063121,0.2020,
50568,301,-63.9015,103639.85,0.05646,65.50,0.066461,0.1993,
50736,302,-90.7909,155098.62,0.06763,84.00,0.077164,0.1967,
50904,303,-72.5080,113630.86,0.05391,66.50,0.061368,0.1940,
51072,304,-63.2663,101442.62,0.04581,61.75,0.050598,0.1914,
51240,305,-57.2411,97244.21,0.05251,63.25,0.048270,0.1887,
51408,306,-58.5033,96913.06,0.04415,61.25,0.035983,0.1860,
51576,307,-71.0591,119609.98,0.04716,67.75,0.041465,0.1834,
51744,308,-56.0265,100437.80,0.02902,54.75,0.060862,0.1807,
51912,309,-57.5197,93564.97,0.03847,55.25,0.049666,0.1781,
52080,310,-57.8036,94992.09,0.02947,50.00,0.061170,0.1754,
52248,311,-63.9647,76702.72,0.08638,59.00,0.047325,0.1727,
52416,312,-94.6926,151168.31,0.05702,83.50,0.054689,0.1701,
52584,313,-63.1718,77559.96,0.07803,53.25,0.043979,0.1674,
52752,314,-59.4196,89503.15,0.05775,61.25,0.066596,0.1648,
52920,315,-91.7006,152978.55,0.06032,85.25,0.061202,0.1621,
53088,316,-58.4641,92322.08,0.03498,51.50,0.061114,0.1594,
53256,317,-61.4414,91650.42,0.07503,59.75,0.047131,0.1568,
53424,318,-62.3748,99540.71,0.06517,68.00,0.051491,0.1541,
53592,319,-70.3146,115537.19,0.05871,69.75,0.047906,0.1515,
53760,320,-59.7698,96855.90,0.07318,68.00,0.044144,0.1488,
53928,321,-61.5633,93563.41,0.06399,64.00,0.049324,0.1461,
54096,322,-86.7233,152102.14,0.02965,71.50,0.064006,0.1435,
54264,323,-58.4184,83330.53,0.07081,64.25,0.042086,0.1408,
54432,324,-86.4134,147841.75,0.03298,70.25,0.072373,0.1382,
54600,325,-84.1633,151434.17,0.05975,85.25,0.064869,0.1355,
54768,326,-60.7278,85131.93,0.06166,57.75,0.058166,0.1328,
54936,327,-87.7255,159857.39,0.03538,77.25,0.059286,0.1302,
55000,327,,,,,,,-75.4213
55104,328,-58.1110,92152.28,0.04535,57.25,0.060161,0.1275,
55272,329,-59.5185,83918.86,0.06065,58.25,0.057973,0.1249,
55440,330,-92.9321,161679.22,0.04409,81.75,0.073663,0.1222,
55608,331,-62.4502,96664.49,0.03974,54.50,0.063924,0.1195,
55776,332,-63.2135,97724.94,0.07304,71.25,0.055796,0.1169,
55944,333,-54.8833,96056.75,0.04039,55.75,0.056993,0.1142,
56112,334,-61.9234,98435.82,0.06788,60.00,0.056184,0.1116,
56280,335,-61.2081,95289.69,0.06837,64.75,0.059262,0.1089,
56448,336,-56.3350,94123.73,0.06439,61.00,0.070293,0.1062,
56616,337,-54.4311,92413.82,0.04574,56.25,0.046126,0.1036,
56784,338,-65.1147,83563.28,0.10349,67.00,0.046838,0.1009,
56952,339,-63.2355,82664.70,0.09230,69.00,0.049614,0.0983,
57120,340,-54.5330,80452.28,0.07152,62.25,0.046555,0.0956,
57288,341,-86.7402,159676.78,0.05729,81.25,0.062615,0.0929,
57456,342,-56.3897,88120.88,0.05615,59.25,0.054817,0.0903,
57624,343,-70.5170,110510.16,0.06444,73.75,0.044131,0.0876,
57792,344,-88.3085,151825.16,0.04055,76.75,0.045818,0.0850,
57960,345,-55.1203,78141.30,0.07401,59.25,0.068155,0.0823,
58128,346,-58.1554,90112.96,0.06481,63.25,0.048977,0.0796,
