step,episode,episode_return,episode_wue,episode_fair_std,episode_worst_outage_h,loss,epsilon,eval_return
34776,207,-65.8044,135918.08,0.01154,64.50,0.130690,0.4494,
34944,208,-66.6498,119768.28,0.04570,70.00,0.050443,0.4467,
35000,208,,,,,,,-75.0682
35112,209,-68.8094,124382.10,0.04040,69.25,0.046706,0.4441,
35280,210,-94.5958,172070.34,0.03394,80.50,0.146633,0.4414,
35448,211,-77.6832,135179.17,0.05349,76.00,0.123038,0.4387,
35616,212,-67.7275,120255.66,0.05129,67.75,0.123789,0.4361,
35784,213,-66.0543,112725.27,0.05563,68.50,0.168696,0.4334,
35952,214,-79.8332,132072.36,0.02871,69.75,0.038397,0.4308,
36120,215,-64.9803,119306.00,0.05133,74.00,0.127237,0.4281,
36288,216,-70.6734,111987.76,0.07289,73.00,0.120410,0.4254,
36456,217,-62.2775,106636.50,0.04984,63.75,0.052699,0.4228,
36624,218,-76.1964,132177.49,0.06486,84.50,0.046382,0.4201,
36792,219,-100.1536,166611.81,0.04724,87.75,0.117809,0.4175,
36960,220,-67.1970,122555.16,0.03087,68.00,0.184315,0.4148,
37128,221,-66.2743,114074.34,0.04368,66.75,0.114631,0.4121,
37296,222,-74.7724,129937.25,0.04842,73.50,0.053361,0.4095,
37464,223,-92.4555,173074.09,0.05479,92.50,0.073383,0.4068,
37632,224,-66.4241,120881.78,0.03654,65.75,0.053436,0.4042,
37800,225,-70.5990,122225.46,0.05701,79.00,0.065813,0.4015,
37968,226,-65.4401,120484.27,0.05766,71.50,0.039085,0.3988,
38136,227,-65.4198,120788.03,0.04523,67.75,0.178445,0.3962,
38304,228,-93.1597,168480.68,0.03483,81.75,0.074484,0.3935,
38472,229,-66.4131,113666.05,0.04216,67.00,0.183159,0.3909,
38640,230,-90.5995,165692.12,0.04507,81.50,0.107142,0.3882,
38808,231,-90.8948,165295.52,0.04503,81.25,0.060334,0.3855,
38976,232,-95.9493,171983.61,0.04763,88.75,0.082979,0.3829,
