step,episode,episode_return,episode_wue,loss,epsilon,eval_return
57792,344,-101.4481,130848.08,0.070435,0.0850,
57960,345,-51.9157,82876.02,0.062062,0.0823,
58128,346,-55.3006,91169.18,0.079503,0.0796,
58296,347,-61.7810,89912.89,0.083107,0.0770,
58464,348,-69.8629,105887.73,0.063464,0.0743,
58632,349,-53.5253,96632.36,0.049685,0.0717,
58800,350,-73.8200,115758.03,0.072452,0.0690,
58968,351,-86.6679,163854.65,0.080731,0.0663,
59136,352,-56.6440,92442.49,0.083500,0.0637,
59304,353,-60.2921,110192.29,0.066492,0.0610,
59472,354,-59.1149,79301.24,0.047824,0.0584,
59640,355,-59.7728,91593.54,0.075768,0.0557,
59808,356,-62.8819,95665.02,0.069402,0.0530,
59976,357,-71.8293,114655.50,0.084857,0.0504,
60000,357,,,,,-83.9497
60144,358,-90.5559,161208.12,0.074280,0.0500,
60312,359,-56.4058,95748.59,0.081359,0.0500,
60480,360,-54.8856,87439.14,0.058001,0.0500,
60648,361,-54.7950,99904.95,0.075113,0.0500,
60816,362,-56.1041,85434.90,0.061218,0.0500,
60984,363,-84.6884,157722.75,0.062801,0.0500,
61152,364,-66.5938,111429.73,0.090020,0.0500,
61320,365,-52.6913,85208.11,0.062070,0.0500,
61488,366,-73.5879,99834.34,0.075596,0.0500,
61656,367,-53.2126,78900.28,0.065208,0.0500,
61824,368,-92.6736,121768.59,0.061443,0.0500,
61992,369,-51.8213,82022.63,0.056053,0.0500,
62160,370,-74.3040,109320.23,0.087062,0.0500,
62328,371,-69.5935,113391.59,0.069383,0.0500,
62496,372,-55.7148,93702.89,0.069214,0.0500,
62664,373,-90.8271,152317.43,0.047801,0.0500,
62832,374,-53.3445,90736.05,0.054951,0.0500,
63000,375,-52.7595,86563.01,0.058619,0.0500,
63168,376,-75.4533,97200.47,0.116489,0.0500,
63336,377,-58.7823,82440.75,0.059348,0.0500,
63504,378,-49.4959,91516.35,0.067236,0.0500,
63672,379,-57.2820,97621.74,0.077709,0.0500,
63840,380,-86.1623,154988.01,0.082100,0.0500,
64008,381,-55.7388,93608.01,0.071307,0.0500,
64176,382,-57.5369,91963.92,0.074031,0.0500,
64344,383,-57.1668,83513.19,0.079006,0.0500,
64512,384,-74.2393,107011.21,0.113172,0.0500,
64680,385,-83.8435,154496.72,0.064180,0.0500,
64848,386,-86.0011,166045.25,0.058195,0.0500,
65000,386,,,,,-75.2396
65016,387,-55.4418,89466.09,0.068884,0.0500,
65184,388,-86.7862,150356.19,0.057245,0.0500,
65352,389,-87.5071,139528.97,0.088632,0.0500,
65520,390,-57.2516,76147.26,0.069986,0.0500,
65688,391,-54.8803,89967.38,0.066968,0.0500,
